bcov | 32 kDa non-structural protein [Bovine coronavirus], bcov | hemmaglutinin-esterase [Bovine coronavirus], 653
bcov | 32 kDa non-structural protein [Bovine coronavirus], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 657
bcov | 32 kDa non-structural protein [Bovine coronavirus], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 3225
bcov | 32 kDa non-structural protein [Bovine coronavirus], humanoc43 | ns12.9 [Human coronavirus OC43], 528
bcov | 32 kDa non-structural protein [Bovine coronavirus], humanoc43 | envelope protein [Human coronavirus OC43], 586
bcov | 32 kDa non-structural protein [Bovine coronavirus], humanoc43 | membrane protein [Human coronavirus OC43], 401
bcov | 32 kDa non-structural protein [Bovine coronavirus], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 712
bcov | 32 kDa non-structural protein [Bovine coronavirus], humanoc43 | internal protein [Human coronavirus OC43], 654
bcov | 32 kDa non-structural protein [Bovine coronavirus], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 12312
bcov | 32 kDa non-structural protein [Bovine coronavirus], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 20448
bcov | 32 kDa non-structural protein [Bovine coronavirus], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 3225
bcov | 32 kDa non-structural protein [Bovine coronavirus], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 545
bcov | 32 kDa non-structural protein [Bovine coronavirus], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 540
bcov | 32 kDa non-structural protein [Bovine coronavirus], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 421
bcov | 32 kDa non-structural protein [Bovine coronavirus], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 420
bcov | 32 kDa non-structural protein [Bovine coronavirus], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 597
bcov | 32 kDa non-structural protein [Bovine coronavirus], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 417
bcov | 32 kDa non-structural protein [Bovine coronavirus], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 654
bcov | 32 kDa non-structural protein [Bovine coronavirus], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 542
bcov | 32 kDa non-structural protein [Bovine coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 20397
bcov | 32 kDa non-structural protein [Bovine coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 12336
bcov | 32 kDa non-structural protein [Bovine coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 2931
bcov | 32 kDa non-structural protein [Bovine coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 432
bcov | 32 kDa non-structural protein [Bovine coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 462
bcov | 32 kDa non-structural protein [Bovine coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 611
bcov | 32 kDa non-structural protein [Bovine coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 420
bcov | 32 kDa non-structural protein [Bovine coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 645
bcov | 32 kDa non-structural protein [Bovine coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 514
bcov | 32 kDa non-structural protein [Bovine coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 702
bcov | 32 kDa non-structural protein [Bovine coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 717
bcov | 32 kDa non-structural protein [Bovine coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 588
bcov | 32 kDa non-structural protein [Bovine coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 674
bcov | 32 kDa non-structural protein [Bovine coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 562
bcov | 32 kDa non-structural protein [Bovine coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 628
bcov | 32 kDa non-structural protein [Bovine coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 20382
bcov | 32 kDa non-structural protein [Bovine coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 12309
bcov | hemmaglutinin-esterase [Bovine coronavirus], bcov | spike structural protein [Bovine coronavirus], 2838
bcov | hemmaglutinin-esterase [Bovine coronavirus], bcov | 4.9 kDa non-structural protein [Bovine coronavirus], 1185
bcov | hemmaglutinin-esterase [Bovine coronavirus], bcov | 4.8 kDa non-structural protein [Bovine coronavirus], 1137
bcov | hemmaglutinin-esterase [Bovine coronavirus], bcov | 12.7 kDa non-structural protein [Bovine coronavirus], 947
bcov | hemmaglutinin-esterase [Bovine coronavirus], bcov | small membrane protein [Bovine coronavirus], 1020
bcov | hemmaglutinin-esterase [Bovine coronavirus], bcov | matrix protein [Bovine coronavirus], 701
bcov | hemmaglutinin-esterase [Bovine coronavirus], bcov | nucleocapsid protein [Bovine coronavirus], 703
bcov | hemmaglutinin-esterase [Bovine coronavirus], bcov | internal protein [Bovine coronavirus], 756
bcov | hemmaglutinin-esterase [Bovine coronavirus], bcov | orf1ab polyprotein [Bovine coronavirus], 20007
bcov | hemmaglutinin-esterase [Bovine coronavirus], bcov | orf1a polyprotein [Bovine coronavirus], 11874
bcov | hemmaglutinin-esterase [Bovine coronavirus], human229e | surface glycoprotein [Human coronavirus 229E], 2302
bcov | hemmaglutinin-esterase [Bovine coronavirus], human229e | 4a protein [Human coronavirus 229E], 883
bcov | hemmaglutinin-esterase [Bovine coronavirus], human229e | 4b protein [Human coronavirus 229E], 1008
bcov | hemmaglutinin-esterase [Bovine coronavirus], human229e | envelope protein [Human coronavirus 229E], 1041
bcov | hemmaglutinin-esterase [Bovine coronavirus], human229e | membrane protein [Human coronavirus 229E], 717
bcov | hemmaglutinin-esterase [Bovine coronavirus], human229e | nucleocapsid protein [Human coronavirus 229E], 650
bcov | hemmaglutinin-esterase [Bovine coronavirus], human229e | replicase polyprotein 1ab [Human coronavirus 229E], 18999
bcov | hemmaglutinin-esterase [Bovine coronavirus], human229e | replicase polyprotein 1a [Human coronavirus 229E], 10980
bcov | hemmaglutinin-esterase [Bovine coronavirus], humanoc43 | ns2 [Human coronavirus OC43], 654
bcov | hemmaglutinin-esterase [Bovine coronavirus], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 52
bcov | hemmaglutinin-esterase [Bovine coronavirus], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 2812
bcov | hemmaglutinin-esterase [Bovine coronavirus], humanoc43 | ns12.9 [Human coronavirus OC43], 947
bcov | hemmaglutinin-esterase [Bovine coronavirus], humanoc43 | envelope protein [Human coronavirus OC43], 1020
bcov | hemmaglutinin-esterase [Bovine coronavirus], humanoc43 | membrane protein [Human coronavirus OC43], 702
bcov | hemmaglutinin-esterase [Bovine coronavirus], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 705
bcov | hemmaglutinin-esterase [Bovine coronavirus], humanoc43 | internal protein [Human coronavirus OC43], 1092
bcov | hemmaglutinin-esterase [Bovine coronavirus], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 11874
bcov | hemmaglutinin-esterase [Bovine coronavirus], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 20010
bcov | hemmaglutinin-esterase [Bovine coronavirus], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 2808
bcov | hemmaglutinin-esterase [Bovine coronavirus], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 964
bcov | hemmaglutinin-esterase [Bovine coronavirus], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 949
bcov | hemmaglutinin-esterase [Bovine coronavirus], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 689
bcov | hemmaglutinin-esterase [Bovine coronavirus], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 721
bcov | hemmaglutinin-esterase [Bovine coronavirus], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 1026
bcov | hemmaglutinin-esterase [Bovine coronavirus], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 728
bcov | hemmaglutinin-esterase [Bovine coronavirus], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 678
bcov | hemmaglutinin-esterase [Bovine coronavirus], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 941
bcov | hemmaglutinin-esterase [Bovine coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 19959
bcov | hemmaglutinin-esterase [Bovine coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 11898
bcov | hemmaglutinin-esterase [Bovine coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 2536
bcov | hemmaglutinin-esterase [Bovine coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 660
bcov | hemmaglutinin-esterase [Bovine coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 838
bcov | hemmaglutinin-esterase [Bovine coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 1044
bcov | hemmaglutinin-esterase [Bovine coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 734
bcov | hemmaglutinin-esterase [Bovine coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 1083
bcov | hemmaglutinin-esterase [Bovine coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 913
bcov | hemmaglutinin-esterase [Bovine coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 1140
bcov | hemmaglutinin-esterase [Bovine coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 1155
bcov | hemmaglutinin-esterase [Bovine coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 1020
bcov | hemmaglutinin-esterase [Bovine coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 701
bcov | hemmaglutinin-esterase [Bovine coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 980
bcov | hemmaglutinin-esterase [Bovine coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 1062
bcov | hemmaglutinin-esterase [Bovine coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 19944
bcov | hemmaglutinin-esterase [Bovine coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 11871
bcov | spike structural protein [Bovine coronavirus], bcov | 4.9 kDa non-structural protein [Bovine coronavirus], 4002
bcov | spike structural protein [Bovine coronavirus], bcov | 4.8 kDa non-structural protein [Bovine coronavirus], 3954
bcov | spike structural protein [Bovine coronavirus], bcov | 12.7 kDa non-structural protein [Bovine coronavirus], 3762
bcov | spike structural protein [Bovine coronavirus], bcov | small membrane protein [Bovine coronavirus], 3837
bcov | spike structural protein [Bovine coronavirus], bcov | matrix protein [Bovine coronavirus], 3399
bcov | spike structural protein [Bovine coronavirus], bcov | nucleocapsid protein [Bovine coronavirus], 2810
bcov | spike structural protein [Bovine coronavirus], bcov | internal protein [Bovine coronavirus], 3468
bcov | spike structural protein [Bovine coronavirus], bcov | orf1ab polyprotein [Bovine coronavirus], 17190
bcov | spike structural protein [Bovine coronavirus], bcov | orf1a polyprotein [Bovine coronavirus], 9130
bcov | spike structural protein [Bovine coronavirus], human229e | surface glycoprotein [Human coronavirus 229E], 1930
bcov | spike structural protein [Bovine coronavirus], human229e | 4a protein [Human coronavirus 229E], 3690
bcov | spike structural protein [Bovine coronavirus], human229e | 4b protein [Human coronavirus 229E], 3825
bcov | spike structural protein [Bovine coronavirus], human229e | envelope protein [Human coronavirus 229E], 3858
bcov | spike structural protein [Bovine coronavirus], human229e | membrane protein [Human coronavirus 229E], 3414
bcov | spike structural protein [Bovine coronavirus], human229e | nucleocapsid protein [Human coronavirus 229E], 2939
bcov | spike structural protein [Bovine coronavirus], human229e | replicase polyprotein 1ab [Human coronavirus 229E], 16182
bcov | spike structural protein [Bovine coronavirus], human229e | replicase polyprotein 1a [Human coronavirus 229E], 8281
bcov | spike structural protein [Bovine coronavirus], humanoc43 | ns2 [Human coronavirus OC43], 3255
bcov | spike structural protein [Bovine coronavirus], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 2837
bcov | spike structural protein [Bovine coronavirus], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 276
bcov | spike structural protein [Bovine coronavirus], humanoc43 | ns12.9 [Human coronavirus OC43], 3762
bcov | spike structural protein [Bovine coronavirus], humanoc43 | envelope protein [Human coronavirus OC43], 3837
bcov | spike structural protein [Bovine coronavirus], humanoc43 | membrane protein [Human coronavirus OC43], 3399
bcov | spike structural protein [Bovine coronavirus], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 2805
bcov | spike structural protein [Bovine coronavirus], humanoc43 | internal protein [Human coronavirus OC43], 3909
bcov | spike structural protein [Bovine coronavirus], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 9132
bcov | spike structural protein [Bovine coronavirus], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 17193
bcov | spike structural protein [Bovine coronavirus], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 1916
bcov | spike structural protein [Bovine coronavirus], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 3780
bcov | spike structural protein [Bovine coronavirus], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 3762
bcov | spike structural protein [Bovine coronavirus], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 3351
bcov | spike structural protein [Bovine coronavirus], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 3417
bcov | spike structural protein [Bovine coronavirus], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 3843
bcov | spike structural protein [Bovine coronavirus], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 3432
bcov | spike structural protein [Bovine coronavirus], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 2885
bcov | spike structural protein [Bovine coronavirus], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 3753
bcov | spike structural protein [Bovine coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 17142
bcov | spike structural protein [Bovine coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 9136
bcov | spike structural protein [Bovine coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 1879
bcov | spike structural protein [Bovine coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 3267
bcov | spike structural protein [Bovine coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 3627
bcov | spike structural protein [Bovine coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 3861
bcov | spike structural protein [Bovine coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 3426
bcov | spike structural protein [Bovine coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 3900
bcov | spike structural protein [Bovine coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 3723
bcov | spike structural protein [Bovine coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 3957
bcov | spike structural protein [Bovine coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 3972
bcov | spike structural protein [Bovine coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 3837
bcov | spike structural protein [Bovine coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 2875
bcov | spike structural protein [Bovine coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 3795
bcov | spike structural protein [Bovine coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 3879
bcov | spike structural protein [Bovine coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 17127
bcov | spike structural protein [Bovine coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 9104
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], bcov | 4.8 kDa non-structural protein [Bovine coronavirus], 74
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], bcov | 12.7 kDa non-structural protein [Bovine coronavirus], 242
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], bcov | small membrane protein [Bovine coronavirus], 171
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], bcov | matrix protein [Bovine coronavirus], 603
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], bcov | nucleocapsid protein [Bovine coronavirus], 1257
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], bcov | internal protein [Bovine coronavirus], 534
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], bcov | orf1ab polyprotein [Bovine coronavirus], 21192
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], bcov | orf1a polyprotein [Bovine coronavirus], 13059
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], human229e | surface glycoprotein [Human coronavirus 229E], 3432
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], human229e | 4a protein [Human coronavirus 229E], 312
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], human229e | 4b protein [Human coronavirus 229E], 183
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], human229e | envelope protein [Human coronavirus 229E], 152
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], human229e | membrane protein [Human coronavirus 229E], 588
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], human229e | nucleocapsid protein [Human coronavirus 229E], 1080
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], human229e | replicase polyprotein 1ab [Human coronavirus 229E], 20184
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], human229e | replicase polyprotein 1a [Human coronavirus 229E], 12165
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], humanoc43 | ns2 [Human coronavirus OC43], 747
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 1185
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 3972
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], humanoc43 | ns12.9 [Human coronavirus OC43], 242
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], humanoc43 | envelope protein [Human coronavirus OC43], 170
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], humanoc43 | membrane protein [Human coronavirus OC43], 603
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 1257
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], humanoc43 | internal protein [Human coronavirus OC43], 108
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 13059
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 21195
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 3972
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 223
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 241
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 651
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 585
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 163
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 570
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 1152
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 250
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 21144
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 13083
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 3678
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 735
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 375
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 147
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 576
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 113
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 280
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 67
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 55
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 170
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 1179
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 211
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 136
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 21129
bcov | 4.9 kDa non-structural protein [Bovine coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 13056
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], bcov | 12.7 kDa non-structural protein [Bovine coronavirus], 204
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], bcov | small membrane protein [Bovine coronavirus], 141
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], bcov | matrix protein [Bovine coronavirus], 555
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], bcov | nucleocapsid protein [Bovine coronavirus], 1209
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], bcov | internal protein [Bovine coronavirus], 486
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], bcov | orf1ab polyprotein [Bovine coronavirus], 21144
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], bcov | orf1a polyprotein [Bovine coronavirus], 13011
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], human229e | surface glycoprotein [Human coronavirus 229E], 3384
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], human229e | 4a protein [Human coronavirus 229E], 268
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], human229e | 4b protein [Human coronavirus 229E], 151
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], human229e | envelope protein [Human coronavirus 229E], 125
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], human229e | membrane protein [Human coronavirus 229E], 540
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], human229e | nucleocapsid protein [Human coronavirus 229E], 1032
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], human229e | replicase polyprotein 1ab [Human coronavirus 229E], 20136
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], human229e | replicase polyprotein 1a [Human coronavirus 229E], 12117
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], humanoc43 | ns2 [Human coronavirus OC43], 699
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 1137
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 3924
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], humanoc43 | ns12.9 [Human coronavirus OC43], 206
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], humanoc43 | envelope protein [Human coronavirus OC43], 141
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], humanoc43 | membrane protein [Human coronavirus OC43], 555
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 1209
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], humanoc43 | internal protein [Human coronavirus OC43], 95
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 13011
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 21147
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 3924
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 189
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 208
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 603
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 537
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 141
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 522
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 1104
